uniqueID,x,y,long,lat,Slope,Aspect,CAC,CEC,CLA,SAN,SIL,WAT,mean.SWI,Hydric,Floodplain,totalPPT,MeanTEMP,direction
12191,641855.3946,560204.8198,-87.53918309927,41.528363599973,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,11.22539902,Yes,No,844.4627829,9.860772078,NS
12190,641846.6224,576368.4608,-87.5496395300059,41.673763917606,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.80988407,No,No,821.7411775,10.18738493,NS
12189,641826.6787,559393.0174,-87.5390078497373,41.5210462516199,0,NA,0.066454016,26.80353546,37.48272324,14.31572342,48.20155334,25.07353592,11.62213516,Yes,No,844.4627829,9.860772078,NS
12188,641797.9668,558581.2225,-87.5388325995744,41.5137289020963,0,NA,0,3.905439615,4.340681076,92.56185913,3.097463369,11.71597958,10.80838871,No,No,844.4627829,9.860772078,NS
12187,641762.7847,574768.5237,-87.5496173061652,41.659332110831,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.80988407,No,No,814.9639215,10.13570844,NS
12186,641758.4416,557770.6913,-87.5387874488047,41.5064176539274,0,NA,3.331095695,8.383620262,9.846133232,71.85391998,18.29994583,24.78612137,7.617026806,Yes,No,844.4627829,9.860772078,NS
12185,641753.9126,585046.0854,-87.556330127458,41.7517696034653,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.25649738,No,No,838.025102,10.15207648,NS
12184,641729.9788,553167.6853,-87.5361900738445,41.464989926783,0,NA,0.815923572,23.84466171,28.94119835,11.02559376,60.03320694,28.45300102,9.066009521,Yes,Yes,854.019881,9.779198893,NS
12183,641718.9176,556960.1668,-87.5387422988824,41.4991063962378,0,NA,3.147721052,9.633275032,11.32965946,70.698349,17.97198868,18.79381561,11.22539902,Yes,No,854.019881,9.779198893,NS
12182,641689.5935,573160.7245,-87.5494625010099,41.6448344455128,0,NA,2.848684311,18.68052673,35.28223801,26.79342079,37.92434311,16.50600052,11.80988407,No,No,814.9639215,10.13570844,NS
12181,641686.5141,552365.5771,-87.5361977001817,41.4577521002061,3.25190258,45,11.33545876,12.28627205,33.38442612,14.16725445,52.44831848,17.16783524,6.36230135,Yes,No,862.0381954,9.696087673,E
12180,641685.2298,556151.6516,-87.5386287000676,41.4918159511096,5.409533501,261.8699036,8.67615509,15.05678082,33.65574646,12.80410862,53.54014587,19.12693977,6.624385357,Yes,No,854.019881,9.779198893,W
12179,641666.199,583432.919,-87.5563442626488,41.7372183679235,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.65323448,No,No,838.025102,10.15207648,NS
12178,641651.9659,555342.254,-87.5385095003884,41.4845177003391,0,NA,8.67615509,15.09303188,33.65574646,12.80410862,53.54014587,19.12693977,6.072969437,Yes,No,854.019881,9.779198893,NS
12177,641645.1451,551561.1932,-87.5361788471491,41.4504947349779,3.06628871,90,11.3815794,14.13684177,34.01315689,12.44736862,53.53947449,17.84000015,6.129785538,No,No,862.0381954,9.696087673,E
12176,641604.2908,554549.9111,-87.538573386606,41.4773658981707,2.424982071,108.4349518,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,10.32965088,Yes,No,854.019881,9.779198893,E
12175,641603.9947,571537.832,-87.5494466981195,41.6301947626163,0,NA,2.373903513,16.20614052,30.54660034,33.09539413,36.35800552,18.63500023,11.80988407,No,No,814.9639215,10.13570844,NS
12174,641603.776,550756.8093,-87.5361599998285,41.4432372996461,1.085003257,45,11.33545876,12.28627205,33.38442612,14.16725445,52.44831848,17.16783524,10.61740208,Yes,No,862.0381954,9.696087673,E
12173,641571.6755,549952.952,-87.5360308348751,41.4359889850055,2.424982071,198.4349518,1.717171669,24.89182663,36.17909241,8.447102547,55.37380219,20.45595932,6.57208395,Yes,No,862.0381954,9.696087673,S
12172,641551.7999,553745.1662,-87.538686871287,41.4701001283223,1.534242988,90,12.53155231,13.7948513,32.87708282,12.81914616,54.30377197,18.3809185,9.790130615,No,No,854.019881,9.779198893,E
12171,641542.6043,569915.1586,-87.5491411624109,41.6155684378074,0,NA,3.331095695,8.383620262,9.846133232,71.85391998,18.29994583,24.78612137,11.43475246,Yes,No,821.8740558,10.04256522,NS
12170,641539.5751,549149.0947,-87.5359016996343,41.4287406001911,2.169228792,135,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,7.961845875,Yes,No,862.0381954,9.696087673,S
12169,641505.3191,548345.2569,-87.5357983372743,41.4214912850275,3.25190258,315,1.717171669,24.89182663,36.17909241,8.447102547,55.37380219,20.45595932,6.540579796,Yes,No,870.5194878,9.686280718,N
12168,641473.2932,568313.1453,-87.5489438422779,41.6011238738221,0,NA,0.06383834,4.012608528,4.906382561,88.08109283,7.012526989,13.75408173,11.43475246,Yes,No,821.8740558,10.04256522,NS
12167,641471.0631,547541.4192,-87.5356949997074,41.4142419003911,0,NA,4.213815689,138.4060516,1.790460467,0.438486844,2.771052599,59.00550079,10.94842148,Yes,No,870.5194878,9.686280718,NS
12166,641444.8856,546728.5419,-87.5354895251747,41.4069149863443,10.72430992,261.8699036,11.21315765,13.55365753,31.82921028,12.49026299,55.68052673,19.36079979,4.301116467,No,No,870.5194878,9.686280718,W
12165,641418.7081,545915.6646,-87.5352841003149,41.399587999924,11.57732773,281.3099365,12.53255939,13.82870579,33.04504395,12.73818493,54.21677017,18.38061142,6.329767227,No,No,870.5194878,9.686280718,W
12164,641385.9359,566702.0729,-87.5489567992805,41.5865888514012,0,NA,0.250881702,25.05568314,47.05135727,10.53282738,42.41581726,11.89474201,11.35961151,Yes,No,832.7351599,9.939699683,NS
12163,641379.158,545104.7175,-87.5352394947699,41.3922718864159,2.424982071,251.5650482,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,7.057195187,Yes,No,870.5194878,9.686280718,W
12162,641339.6079,544293.7703,-87.5351948999259,41.384955700031,2.424982071,108.4349518,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,6.099495888,Yes,No,870.5194878,9.686280718,E
12161,641314.3358,565100.6722,-87.5487874000843,41.5721481534818,0,NA,0,19.76644707,37.36513138,24.14473724,38.49013138,15.82999992,11.35961151,No,No,832.7351599,9.939699683,NS
12160,641299.96,543495.8798,-87.5351597953036,41.3777568851238,0,NA,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,10.18711853,Yes,No,877.9517285,9.697550741,NS
12159,641260.312,542697.9893,-87.5351247002077,41.3705580003026,0,NA,7.81820631,14.50455189,31.74046707,9.281686783,58.97784805,17.18918419,10.10288239,Yes,No,877.9517285,9.697550741,NS
12158,641228.1784,541893.7013,-87.5349959343238,41.3633050859633,3.06628871,270,7.81820631,14.87129402,32.91863632,9.281686783,57.7996788,16.11469269,10.18727684,Yes,No,877.9517285,9.697550741,W
